,topic,ano,prob,word
0,0,1990,0.031092618504276633,parallel
1,0,1990,0.016633725598606437,memory
2,0,1990,0.015614540874274304,processor
3,0,1990,0.013755727618126788,code
4,0,1990,0.012406544722034885,use
5,0,1990,0.011702752325352991,performance
6,0,1990,0.011598148063208075,datum
7,0,1990,0.011516619117721205,program
8,0,1990,0.010975442310612236,machine
9,0,1990,0.010554364417471058,implementation
10,0,1990,0.009356199769537193,scheme
11,0,1990,0.008633329772498545,architecture
12,0,1990,0.00701158662179143,algorithm
13,0,1990,0.006454825261282687,share
14,0,1990,0.006420416580797808,distribute
15,0,1990,0.006404618427724081,base
16,0,1990,0.006369279787876196,technique
17,0,1990,0.0062411995632275135,high
18,0,1990,0.006154136282627417,access
19,0,1990,0.006052302408189326,computation
20,0,1990,0.00583834476733969,data
21,0,1990,0.0058025693334520035,execution
22,0,1990,0.005741085608589137,implement
23,0,1990,0.005710418883270634,system
24,0,1990,0.005603295030803362,parallelism
25,0,1990,0.00550680606070688,application
26,0,1990,0.005477262790954262,operation
27,0,1990,0.005414564408305451,efficient
28,0,1990,0.005286960856274156,structure
29,0,1990,0.005248676503263594,bit
30,0,1990,0.005091774657919668,design
31,0,1990,0.005071310516038418,hardware
32,0,1990,0.00505426615479769,time
33,0,1990,0.005034128441803442,computer
34,0,1990,0.004948089007354362,message
35,0,1990,0.0048738574424747735,key
36,0,1990,0.004799572807815863,storage
37,0,1990,0.004790219864768048,large
38,0,1990,0.0047155307889872695,level
39,0,1990,0.004482815790430152,communication
40,0,1990,0.004446801772996267,new
41,0,1990,0.0044106159148710675,processing
42,0,1990,0.004401605756948104,require
43,0,1990,0.0043526436694414005,result
44,0,1990,0.004123597884345808,describe
45,0,1990,0.004119166691619398,compiler
46,0,1990,0.004100365673736859,array
47,0,1990,0.003975137145426556,security
48,0,1990,0.003922745819815357,run
49,0,1990,0.0038289173303578394,present
50,0,1990,0.0036102564530057927,block
51,0,1990,0.0034270367036146505,file
52,0,1990,0.003361517409592206,sequential
53,0,1990,0.0032455106776397556,write
54,0,1990,0.003214059039511088,multiprocessor
55,0,1990,0.0031874569429673236,protocol
56,0,1990,0.0031124182867403863,allow
57,0,1990,0.003047078212429211,secret
58,0,1990,0.003027519997949345,programming
59,0,1990,0.003006532009404429,signature
60,0,1990,0.00297721047320063,propose
61,0,1990,0.0029679920250807435,reduce
62,0,1990,0.0029477207514415475,support
63,0,1990,0.0029114714221918528,instruction
64,0,1990,0.0028862518494921735,provide
65,0,1990,0.0028093935378922645,method
66,0,1990,0.0027274052881650322,achieve
67,0,1990,0.0026914239229299847,speed
68,0,1990,0.0026911920484504253,perform
69,0,1990,0.0026331473860322194,information
70,0,1990,0.0025598365905099376,single
71,0,1990,0.0025371490733681916,store
72,0,1990,0.002408413679369445,loop
73,0,1990,0.0023395235580228983,register
74,0,1990,0.0023228106809093387,size
75,0,1990,0.002322706928861446,call
76,0,1990,0.0022729486469292423,cost
77,0,1990,0.0022549177062521184,secure
78,0,1990,0.0022326418510100073,need
79,0,1990,0.002207583657421978,many
80,0,1990,0.0022001882216210592,disk
81,0,1990,0.0021923996032258454,several
82,0,1990,0.0021878007507227927,function
83,0,1990,0.002173194362099679,may
84,0,1990,0.0021505066977726187,way
85,0,1990,0.002124829188126384,low
86,0,1990,0.002021935401422472,develop
87,0,1990,0.0020172723909398205,vector
88,0,1990,0.0020104642813656,fast
89,0,1990,0.0020004656251580402,attack
90,0,1990,0.0019868709329932456,execute
91,0,1990,0.0019851911522583846,compression
92,0,1990,0.0019672877677028486,simple
93,0,1990,0.001954680035513554,optimization
94,0,1990,0.0019436732514464224,improve
95,0,1990,0.001923625631499,pass
96,0,1990,0.0019050374597234794,make
97,0,1990,0.001891500240217919,exploit
98,0,1990,0.0018903418989448,give
99,0,1990,0.001874806331154512,generate
100,0,1991,0.031170528312042325,parallel
101,0,1991,0.016612247325518248,memory
102,0,1991,0.015217126468224353,processor
103,0,1991,0.013838306723381301,code
104,0,1991,0.012452025840833684,use
105,0,1991,0.011771539111578645,performance
106,0,1991,0.011648904466317141,datum
107,0,1991,0.011505704829719143,program
108,0,1991,0.01072289084896814,machine
109,0,1991,0.01050589941899406,implementation
110,0,1991,0.009411899540174313,scheme
111,0,1991,0.008424337509569491,architecture
112,0,1991,0.0069492737368989305,algorithm
113,0,1991,0.006460827750633948,base
114,0,1991,0.006421945203595283,share
115,0,1991,0.006400227267599334,distribute
116,0,1991,0.00638810892113091,technique
117,0,1991,0.006257091307199697,high
118,0,1991,0.00617087257176835,access
119,0,1991,0.006003215207772161,computation
120,0,1991,0.005850758270717259,data
121,0,1991,0.005747474349564765,execution
122,0,1991,0.005723474043802882,system
123,0,1991,0.005721610537777597,implement
124,0,1991,0.005572277612773049,application
125,0,1991,0.0055456664535279,parallelism
126,0,1991,0.005462959455705207,operation
127,0,1991,0.005442400826072699,efficient
128,0,1991,0.0052469406678253006,bit
129,0,1991,0.005212399775199305,structure
130,0,1991,0.005095710200750795,design
131,0,1991,0.005088686714157848,hardware
132,0,1991,0.00506095453338445,time
133,0,1991,0.004995805183822566,computer
134,0,1991,0.004956767400175925,message
135,0,1991,0.004931786490141381,key
136,0,1991,0.004782430066946681,large
137,0,1991,0.004767065906301681,storage
138,0,1991,0.004716465657886602,level
139,0,1991,0.004526734976735166,communication
140,0,1991,0.004467089651934795,new
141,0,1991,0.004406148663005122,require
142,0,1991,0.004361163614530064,result
143,0,1991,0.004353641626714631,processing
144,0,1991,0.004162846718320883,compiler
145,0,1991,0.004095559754445262,describe
